UtilityKey,Company,UltimatePa,TotalRetai,TotalRet01,TotalRet02,AvgRevPerU,AvgUltCust,AvgResiden,AvgCommeri,AvgIndustr,UtilitySta,layer,path
4059064,"City of Castroville, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060862,Kerrville Public Utility Board,,45505,23927,521093,1901.83,8.73,8.93,8.47,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060123,"City of Fredericksburg, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061731,"City of New Braunfels, Texas",,208928,52503,1771109,3979.35,11.8,13.55,12.65,9.32,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062849,"City of Seguin, Texas",,31106,9104,334073,3416.74,9.31,10.76,9.68,7.82,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4059517,"City of Cuero, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060258,"City of Gonzales, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061190,"City of Luling, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062920,"City of Shiner, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060030,Flatonia City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061621,Moulton City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063785,Waelder City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061117,"City of Lockhart, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062974,"City of Smithville, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058644,"City of Bastrop, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060382,Hallettsville City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4062819,Schulenburg City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4063894,Weimar City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060946,La Grange City of TX,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4060218,"City of Giddings, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058688,"City of Bellville, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058859,"City of Brenham, Texas",,22923,7229,280917,3170.98,8.16,9.73,8.41,6.93,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061116,"City of Llano, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4061317,Mason City of,,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
4058844,"City of Brady, Texas",,0,0,0,0,0,0,0,0,TX,Electric Territory Municipalities,/Users/bill/Local/Sanya/Electric Territory Municipalities (1)/|layername=Electric Territory Municipalities
